owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
facebook,react,facebook/react,240593,49861,JavaScript,106,21.5,rapid,195600,True,2025-11-16T22:04:09.581462,1002,0,22947,161881,0.0,17.7,540352,87026,59796,5.0,1.0,1.0,OK
vuejs,vue,vuejs/vue,209685,33804,TypeScript,249,5.0,rapid,38000,True,2025-11-16T22:04:09.581462,162,0,1544,10349,0.0,9.0,63139,10963,6537,4.0,1.0,1.0,OK
tensorflow,tensorflow,tensorflow/tensorflow,192429,74993,C++,219,10.0,rapid,496600,False,,,,,,,,,,,,,,
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,179701,46123,Python,80,7.0,rapid,79500,False,,,,,,,,,,,,,,
microsoft,vscode,microsoft/vscode,178570,36160,TypeScript,184,7.0,rapid,285300,False,,,,,,,,,,,,,,
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,158207,29374,Python,27,13.0,rapid,63900,True,2025-11-16T22:42:37.258362,51,0,1220,8852,0.0,5.8,37049,8513,9669,5.0,1.0,1.0,OK
ollama,ollama,ollama/ollama,155984,13642,Go,160,5.0,rapid,55000,True,2025-11-16T22:04:09.581462,8,0,1234,15179,0.0,8.4,96084,15044,19539,3.0,1.0,1.0,OK
huggingface,transformers,huggingface/transformers,152536,31147,Python,232,8.0,rapid,365300,True,2025-11-16T22:04:09.581462,250,0,6854,70218,0.0,38.2,697470,107843,118359,5.0,1.0,1.0,OK
yt-dlp,yt-dlp,yt-dlp/yt-dlp,135100,10854,Python,125,10.0,rapid,168400,True,2025-11-16T23:23:55.903496,29,8,1980,22654,0.0,0.1,218350,25454,30514,5.0,5.0,1.0,OK
521xueweihan,HelloGitHub,521xueweihan/HelloGitHub,134105,10868,Python,59,30.0,rapid,1000,True,2025-11-16T22:04:09.581462,1,0,3,11,0.0,0.0,197,39,42,3.0,1.0,1.0,OK
microsoft,PowerToys,microsoft/PowerToys,125710,7475,C#,122,17.0,rapid,58800,True,2025-11-16T22:04:09.581462,5,0,80,395,0.0,0.0,1829,58,30,3.0,1.0,1.0,OK
facebook,react-native,facebook/react-native,124505,24958,C++,425,7.0,rapid,405200,False,,,,,,,,,,,,,,
langgenius,dify,langgenius/dify,118932,18398,TypeScript,149,6.0,rapid,104200,True,2025-11-16T22:04:09.581462,997,19,5270,34015,0.0,15.0,549067,63329,46170,5.0,4.0,1.0,OK
kubernetes,kubernetes,kubernetes/kubernetes,118601,41717,Go,767,6.0,rapid,549500,True,2025-11-16T22:04:09.581462,1,333,16939,244410,0.0,23.6,1293139,239980,305108,3.0,5.0,1.0,OK
open-webui,open-webui,open-webui/open-webui,115262,16119,JavaScript,133,5.0,rapid,72900,True,2025-11-17T00:21:54.088068,52,8,1140,11574,0.0,4.6,71038,9298,12557,5.0,5.0,1.0,OK
