owner,name,stars,forks,language,release_count,contributors,avg_release_interval,release_type,reason
codecrafters-io,build-your-own-x,434373,40732,Markdown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
freeCodeCamp,freeCodeCamp,431241,42241,TypeScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
sindresorhus,awesome,412160,32111,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
EbookFoundation,free-programming-books,376167,65318,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
public-apis,public-apis,375992,39751,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
kamranahmedse,developer-roadmap,342819,43294,TypeScript,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
jwasham,coding-interview-university,332408,81113,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
donnemartin,system-design-primer,325580,53048,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
996icu,996.ICU,274733,21023,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
vinta,awesome-python,267929,26646,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
awesome-selfhosted,awesome-selfhosted,256540,11843,Unknown,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
practical-tutorials,project-based-learning,248974,32560,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
facebook,react,240335,49748,JavaScript,106,195500,48.4,NOT_ELIGIBLE,Intervalo inadequado (48.4 dias)
TheAlgorithms,Python,212478,49129,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
vuejs,vue,209663,33798,TypeScript,249,38100,19.4,RAPID,19.4 dias entre releases
torvalds,linux,206395,58242,C,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
ossu,computer-science,197085,24566,HTML,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
trekhleb,javascript-algorithms,193881,30939,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
trimstray,the-book-of-secret-knowledge,192573,11806,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
tensorflow,tensorflow,192321,74957,C++,219,496300,17.9,RAPID,17.9 dias entre releases
getify,You-Dont-Know-JS,183730,33669,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
CyC2018,CS-Notes,182744,51261,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
ohmyzsh,ohmyzsh,182503,26269,Shell,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
Significant-Gravitas,AutoGPT,179501,46097,Python,79,79600,13.1,RAPID,13.1 dias entre releases
microsoft,vscode,178234,35959,TypeScript,183,284900,11.9,RAPID,11.9 dias entre releases
