owner,name,stars,forks,language,release_count,contributors,avg_release_interval,release_type,reason
vuejs,vue,209663,33798,TypeScript,249,38100,19.4,RAPID,19.4 dias entre releases
tensorflow,tensorflow,192321,74957,C++,219,496300,17.9,RAPID,17.9 dias entre releases
Significant-Gravitas,AutoGPT,179501,46097,Python,79,79600,13.1,RAPID,13.1 dias entre releases
microsoft,vscode,178234,35959,TypeScript,183,284900,11.9,RAPID,11.9 dias entre releases
AUTOMATIC1111,stable-diffusion-webui,157865,29298,Python,27,64000,23.4,RAPID,23.4 dias entre releases
ollama,ollama,155425,13544,Go,158,54300,5.8,RAPID,5.8 dias entre releases
huggingface,transformers,152132,31050,Python,231,363900,12.2,RAPID,12.2 dias entre releases
ytdl-org,youtube-dl,138678,10524,Python,341,101000,6.1,RAPID,6.1 dias entre releases
langflow-ai,langflow,137237,7918,Python,269,31400,6.3,RAPID,6.3 dias entre releases
yt-dlp,yt-dlp,133921,10754,Python,124,167300,15.1,RAPID,15.1 dias entre releases
microsoft,PowerToys,125460,7461,C#,122,58600,18.4,RAPID,18.4 dias entre releases
facebook,react-native,124418,24930,C++,424,404600,10.9,RAPID,10.9 dias entre releases
kubernetes,kubernetes,118409,41643,Go,763,549400,7.9,RAPID,7.9 dias entre releases
langgenius,dify,118121,18257,TypeScript,148,103500,6.8,RAPID,6.8 dias entre releases
open-webui,open-webui,114337,15940,JavaScript,131,71200,6.6,RAPID,6.6 dias entre releases
nodejs,node,114162,33683,JavaScript,467,423500,8.9,RAPID,8.9 dias entre releases
d3,d3,111733,22851,Shell,194,15300,26.7,RAPID,26.7 dias entre releases
mrdoob,three.js,109236,36058,JavaScript,173,243900,33.7,RAPID,33.7 dias entre releases
rust-lang,rust,107653,13939,Rust,142,796900,33.4,RAPID,33.4 dias entre releases
microsoft,TypeScript,106633,13089,TypeScript,213,92100,20.2,RAPID,20.2 dias entre releases
denoland,deno,105028,5759,Rust,351,112800,7.5,RAPID,7.5 dias entre releases
facebook,create-react-app,103822,27145,JavaScript,83,94600,33.6,RAPID,33.6 dias entre releases
microsoft,terminal,100777,8894,C++,142,45700,35.0,RAPID,35.0 dias entre releases
fatedier,frp,100337,14583,Go,107,13500,34.4,RAPID,34.4 dias entre releases
angular,angular,99224,26731,TypeScript,500,251500,6.1,RAPID,6.1 dias entre releases
shadcn-ui,ui,99114,7115,TypeScript,62,37400,18.0,RAPID,18.0 dias entre releases
tauri-apps,tauri,98586,3149,Rust,1000,51300,12.5,RAPID,12.5 dias entre releases
mui,material-ui,96942,32690,JavaScript,551,339700,7.8,RAPID,7.8 dias entre releases
ant-design,ant-design,96542,53909,TypeScript,720,261300,5.7,RAPID,5.7 dias entre releases
comfyanonymous,ComfyUI,92832,10449,Python,90,25000,12.3,RAPID,12.3 dias entre releases
puppeteer,puppeteer,92792,9323,TypeScript,604,53600,9.8,RAPID,9.8 dias entre releases
fastapi,fastapi,91559,8164,Python,223,84900,12.8,RAPID,12.8 dias entre releases
tailwindlabs,tailwindcss,90918,4775,TypeScript,295,32800,14.0,RAPID,14.0 dias entre releases
PanJiaChen,vue-element-admin,90080,30655,Vue,49,12400,23.4,RAPID,23.4 dias entre releases
2dust,v2rayN,89451,13578,C#,282,11300,8.6,RAPID,8.6 dias entre releases
ChatGPTNextWeb,NextChat,86340,60870,TypeScript,77,30100,13.3,RAPID,13.3 dias entre releases
gohugoio,hugo,84550,8081,Go,347,90300,14.1,RAPID,14.1 dias entre releases
mermaid-js,mermaid,83912,8237,TypeScript,174,74300,30.1,RAPID,30.1 dias entre releases
immich-app,immich,83526,4381,TypeScript,278,76700,6.4,RAPID,6.4 dias entre releases
laravel,laravel,82658,24561,Blade,207,83300,16.6,RAPID,16.6 dias entre releases
oven-sh,bun,81995,3474,Zig,201,86300,8.5,RAPID,8.5 dias entre releases
clash-verge-rev,clash-verge-rev,80585,5965,TypeScript,53,11600,14.2,RAPID,14.2 dias entre releases
microsoft,playwright,78997,4788,TypeScript,154,66800,13.7,RAPID,13.7 dias entre releases
spring-projects,spring-boot,78884,41614,Java,326,149800,25.8,RAPID,25.8 dias entre releases
louislam,uptime-kuma,77934,6880,JavaScript,116,87900,15.9,RAPID,15.9 dias entre releases
syncthing,syncthing,77368,4821,Go,452,37100,8.2,RAPID,8.2 dias entre releases
nomic-ai,gpt4all,76864,8294,C++,38,12200,14.8,RAPID,14.8 dias entre releases
hoppscotch,hoppscotch,76809,5400,TypeScript,89,29900,26.1,RAPID,26.1 dias entre releases
netdata,netdata,76576,6219,C,125,66800,29.5,RAPID,29.5 dias entre releases
elastic,elasticsearch,75371,25596,Java,217,238900,14.6,RAPID,14.6 dias entre releases
junegunn,fzf,74902,2610,Go,73,30900,24.9,RAPID,24.9 dias entre releases
coder,code-server,74527,6325,TypeScript,209,27200,14.8,RAPID,14.8 dias entre releases
unionlabs,union,74504,3837,Rust,100,3000,16.8,RAPID,16.8 dias entre releases
nestjs,nest,73340,8084,TypeScript,133,62600,22.9,RAPID,22.9 dias entre releases
browser-use,browser-use,72159,8560,Python,97,27300,5.1,RAPID,5.1 dias entre releases
ventoy,Ventoy,72143,4556,C,105,12000,19.7,RAPID,19.7 dias entre releases
modelcontextprotocol,servers,71985,8638,TypeScript,20,93400,27.4,RAPID,27.4 dias entre releases
redis,redis,71571,24304,C,107,87500,32.2,RAPID,32.2 dias entre releases
moby,moby,71011,18832,Go,247,252200,17.0,RAPID,17.0 dias entre releases
grafana,grafana,70671,13148,TypeScript,560,286500,11.3,RAPID,11.3 dias entre releases
