owner,name,stars,forks,language,release_count,contributors,avg_release_interval,release_type,reason
massgravel,Microsoft-Activation-Scripts,154972,14956,Batchfile,26,800,86.1,SLOW,86.1 dias entre releases
Genymobile,scrcpy,130677,12235,C,49,15700,62.1,SLOW,62.1 dias entre releases
godotengine,godot,102917,23522,C++,64,354800,63.4,SLOW,63.4 dias entre releases
neovim,neovim,94004,6396,Vim Script,47,134200,77.7,SLOW,77.7 dias entre releases
supabase,supabase,91950,10493,TypeScript,22,171600,83.8,SLOW,83.8 dias entre releases
nvm-sh,nvm,88898,9522,Shell,70,40700,60.8,SLOW,60.8 dias entre releases
gin-gonic,gin,86826,8476,Go,28,49400,163.6,SLOW,163.6 dias entre releases
bitcoin,bitcoin,86655,38158,C++,60,126900,70.3,SLOW,70.3 dias entre releases
opencv,opencv,84752,56345,C++,66,233900,84.7,SLOW,84.7 dias entre releases
animate-css,animate.css,82415,16150,CSS,22,13100,127.0,SLOW,127.0 dias entre releases
tonsky,FiraCode,80481,3176,Clojure,29,12800,102.8,SLOW,102.8 dias entre releases
typicode,json-server,75295,7238,JavaScript,38,9200,125.7,SLOW,125.7 dias entre releases
tesseract-ocr,tesseract,70716,10354,C++,34,22600,115.9,SLOW,115.9 dias entre releases
pallets,flask,70708,16610,Python,37,85800,88.4,SLOW,88.4 dias entre releases
hakimel,reveal.js,69779,16773,JavaScript,49,36000,102.9,SLOW,102.9 dias entre releases
danielmiessler,SecLists,66727,24750,PHP,29,35000,97.8,SLOW,97.8 dias entre releases
juliangarnier,anime,65156,4363,JavaScript,27,6600,135.0,SLOW,135.0 dias entre releases
scikit-learn,scikit-learn,63921,26403,Python,48,343600,75.4,SLOW,75.4 dias entre releases
PaddlePaddle,PaddleOCR,62714,9241,Python,26,26700,80.3,SLOW,80.3 dias entre releases
reduxjs,redux,61374,15188,TypeScript,78,105600,61.8,SLOW,61.8 dias entre releases
ryanoasis,nerd-fonts,60339,3830,CSS,38,21100,111.1,SLOW,111.1 dias entre releases
scrapy,scrapy,58864,11138,Python,43,68800,85.8,SLOW,85.8 dias entre releases
h5bp,html5-boilerplate,57242,12309,JavaScript,34,31200,176.4,SLOW,176.4 dias entre releases
BurntSushi,ripgrep,57078,2301,Rust,74,45300,89.4,SLOW,89.4 dias entre releases
sharkdp,bat,55689,1398,Rust,42,43300,73.4,SLOW,73.4 dias entre releases
wagoodman,dive,52504,1919,Go,28,6800,101.8,SLOW,101.8 dias entre releases
google,guava,51241,11084,Java,57,47000,64.9,SLOW,64.9 dias entre releases
jgthms,bulma,49981,3937,CSS,22,43000,136.8,SLOW,136.8 dias entre releases
agalwood,Motrix,49679,4744,JavaScript,21,7300,112.2,SLOW,112.2 dias entre releases
nlohmann,json,47792,7199,C++,45,34500,84.0,SLOW,84.0 dias entre releases
jesseduffield,lazydocker,47383,1485,Go,42,8500,73.0,SLOW,73.0 dias entre releases
dkhamsing,open-source-ios-apps,47251,5649,Unknown,37,40300,73.2,SLOW,73.2 dias entre releases
gogs,gogs,47153,5055,Go,84,56000,60.5,SLOW,60.5 dias entre releases
skylot,jadx,46028,5319,Java,32,14700,143.6,SLOW,143.6 dias entre releases
ColorlibHQ,AdminLTE,45124,18257,CSS,77,11900,64.7,SLOW,64.7 dias entre releases
acmesh-official,acme.sh,44454,5396,Shell,44,65800,78.2,SLOW,78.2 dias entre releases
Leaflet,Leaflet,43888,6018,JavaScript,34,101400,117.8,SLOW,117.8 dias entre releases
coreybutler,nvm-windows,43537,3654,Go,23,8900,187.2,SLOW,187.2 dias entre releases
iina,iina,42504,2705,Swift,47,15300,70.4,SLOW,70.4 dias entre releases
spf13,cobra,42331,3017,Go,26,32000,130.2,SLOW,130.2 dias entre releases
ziglang,zig,42016,3091,Zig,21,131800,150.2,SLOW,150.2 dias entre releases
zhongyang219,TrafficMonitor,41638,3522,C++,26,4400,103.4,SLOW,103.4 dias entre releases
mitmproxy,mitmproxy,41098,4344,Python,78,58000,68.7,SLOW,68.7 dias entre releases
helix-editor,helix,41080,3147,Rust,30,126900,60.6,SLOW,60.6 dias entre releases
sharkdp,fd,40385,939,Rust,41,20800,81.3,SLOW,81.3 dias entre releases
tmux,tmux,39517,2300,C,37,4000,156.2,SLOW,156.2 dias entre releases
aria2,aria2,39131,3766,C++,24,7400,134.5,SLOW,134.5 dias entre releases
koalaman,shellcheck,38377,1883,Haskell,30,16900,171.9,SLOW,171.9 dias entre releases
google,leveldb,38303,8069,C++,21,7300,162.2,SLOW,162.2 dias entre releases
zbezj,HEU_KMS_Activator,37946,3674,Unknown,48,100,445.7,SLOW,445.7 dias entre releases
facebookresearch,faiss,37797,4097,C++,20,25600,142.8,SLOW,142.8 dias entre releases
ant-design,ant-design-pro,37630,8217,TypeScript,26,36000,73.4,SLOW,73.4 dias entre releases
naptha,tesseract.js,37450,2345,JavaScript,56,8500,68.5,SLOW,68.5 dias entre releases
httpie,cli,36938,3782,Python,47,17300,112.3,SLOW,112.3 dias entre releases
hankcs,HanLP,35810,10830,Python,62,4700,63.2,SLOW,63.2 dias entre releases
airbnb,lottie-android,35510,5440,Java,63,16700,61.0,SLOW,61.0 dias entre releases
doocs,leetcode,35128,9150,Java,21,19200,87.8,SLOW,87.8 dias entre releases
huiyadanli,RevokeMsgPatcher,35104,3803,C#,21,600,109.7,SLOW,109.7 dias entre releases
bumptech,glide,34980,6179,Java,54,18700,89.8,SLOW,89.8 dias entre releases
jaywcjlove,linux-command,34768,6524,Markdown,31,19600,111.6,SLOW,111.6 dias entre releases
zenorocha,clipboard.js,34179,3941,JavaScript,42,6300,82.5,SLOW,82.5 dias entre releases
zxing,zxing,33679,9430,Java,31,18000,158.7,SLOW,158.7 dias entre releases
AFNetworking,AFNetworking,33672,10499,Objective-C,40,37500,65.7,SLOW,65.7 dias entre releases
microsoft,qlib,33333,5135,Python,23,14400,84.6,SLOW,84.6 dias entre releases
immutable-js,immutable-js,33085,1780,TypeScript,90,23800,60.2,SLOW,60.2 dias entre releases
gulpjs,gulp,33045,4203,JavaScript,24,26200,230.2,SLOW,230.2 dias entre releases
shadowsocks,ShadowsocksX-NG,32857,7888,Swift,30,3600,116.9,SLOW,116.9 dias entre releases
beego,beego,32314,5627,Go,42,52700,73.9,SLOW,73.9 dias entre releases
binarywang,WxJava,32109,8991,Java,30,54400,107.8,SLOW,107.8 dias entre releases
yewstack,yew,32075,1448,Rust,35,43700,65.0,SLOW,65.0 dias entre releases
