owner,name,stars,forks,language,release_count,contributors,median_release_interval,release_type,reason
massgravel,Microsoft-Activation-Scripts,156094,15068,Batchfile,27,700,54,SLOW,54 dias (mediana) entre releases
Genymobile,scrcpy,131088,12276,C,49,15600,62.0,SLOW,62.0 dias (mediana) entre releases
neovim,neovim,94249,6414,Vim Script,47,134400,62,SLOW,62 dias (mediana) entre releases
gin-gonic,gin,86983,8488,Go,28,49300,119,SLOW,119 dias (mediana) entre releases
bitcoin,bitcoin,86799,38204,C++,60,126800,64,SLOW,64 dias (mediana) entre releases
opencv,opencv,84895,56378,C++,66,234300,84,SLOW,84 dias (mediana) entre releases
animate-css,animate.css,82446,16150,CSS,22,13000,73.5,SLOW,73.5 dias (mediana) entre releases
tesseract-ocr,tesseract,70891,10385,C++,34,22500,100,SLOW,100 dias (mediana) entre releases
hakimel,reveal.js,69837,16780,JavaScript,49,35900,83,SLOW,83 dias (mediana) entre releases
danielmiessler,SecLists,66923,24773,PHP,29,34900,96.0,SLOW,96.0 dias (mediana) entre releases
scikit-learn,scikit-learn,64029,26437,Python,48,343900,61.0,SLOW,61.0 dias (mediana) entre releases
scrapy,scrapy,58946,11147,Python,43,68700,68,SLOW,68 dias (mediana) entre releases
h5bp,html5-boilerplate,57267,12312,JavaScript,34,31100,76,SLOW,76 dias (mediana) entre releases
jgthms,bulma,49987,3934,CSS,22,42900,112.5,SLOW,112.5 dias (mediana) entre releases
skylot,jadx,46140,5330,Java,32,14600,89,SLOW,89 dias (mediana) entre releases
acmesh-official,acme.sh,44551,5404,Shell,45,66200,67.0,SLOW,67.0 dias (mediana) entre releases
Leaflet,Leaflet,43941,6038,JavaScript,34,101300,53,SLOW,53 dias (mediana) entre releases
coreybutler,nvm-windows,43659,3666,Go,23,8800,74.5,SLOW,74.5 dias (mediana) entre releases
spf13,cobra,42409,3024,Go,26,31900,127.0,SLOW,127.0 dias (mediana) entre releases
ziglang,zig,42306,3111,Zig,21,132200,172,SLOW,172 dias (mediana) entre releases
tmux,tmux,39645,2309,C,37,3900,164.0,SLOW,164.0 dias (mediana) entre releases
koalaman,shellcheck,38429,1883,Haskell,30,16800,138,SLOW,138 dias (mediana) entre releases
google,leveldb,38335,8079,C++,21,7200,67.5,SLOW,67.5 dias (mediana) entre releases
facebookresearch,faiss,37968,4110,C++,21,25600,112.5,SLOW,112.5 dias (mediana) entre releases
httpie,cli,37015,3781,Python,47,17200,61,SLOW,61 dias (mediana) entre releases
huiyadanli,RevokeMsgPatcher,35560,3826,C#,21,500,62.5,SLOW,62.5 dias (mediana) entre releases
microsoft,qlib,33725,5211,Python,23,14400,51,SLOW,51 dias (mediana) entre releases
zxing,zxing,33695,9428,Java,32,17900,111.0,SLOW,111.0 dias (mediana) entre releases
beego,beego,32336,5628,Go,42,52600,51,SLOW,51 dias (mediana) entre releases
binarywang,WxJava,32156,8999,Java,30,54500,89,SLOW,89 dias (mediana) entre releases
parallax,jsPDF,30786,4775,JavaScript,37,22000,52,SLOW,52 dias (mediana) entre releases
restic,restic,30786,1673,Go,49,45300,55.0,SLOW,55.0 dias (mediana) entre releases
