owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
massgravel,Microsoft-Activation-Scripts,massgravel/Microsoft-Activation-Scripts,156094,15068,Batchfile,27,54.0,slow,700,True,2025-11-16T17:24:19.947500,3,0,1,20,0.0,0.0,3,1,0,3.0,1.0,4.0,OK
Genymobile,scrcpy,Genymobile/scrcpy,131088,12276,C,49,62.0,slow,15600,False,,,,,,,,,,,,,,
neovim,neovim,neovim/neovim,94249,6414,Vim Script,47,62.0,slow,134400,True,2025-11-16T17:25:20.415147,1,0,101,918,0.0,0.0,1542,410,557,2.0,1.0,1.0,OK
gin-gonic,gin,gin-gonic/gin,86983,8488,Go,28,119.0,slow,49300,True,2025-11-16T17:24:23.561777,0,0,374,3793,0.0,6.6,16675,2237,1531,1.0,1.0,1.0,OK
bitcoin,bitcoin,bitcoin/bitcoin,86799,38204,C++,60,64.0,slow,126800,True,2025-11-16T17:25:45.762641,24,0,930,6286,0.0,0.1,60719,8139,7283,3.0,1.0,1.0,OK
opencv,opencv,opencv/opencv,84895,56378,C++,66,84.0,slow,234300,False,,,,,,,,,,,,,,
animate-css,animate.css,animate-css/animate.css,82446,16150,CSS,22,73.5,slow,13000,True,2025-11-16T17:24:42.157413,20,0,29,148,0.0,3.5,7654,47,12,3.0,1.0,1.0,OK
tesseract-ocr,tesseract,tesseract-ocr/tesseract,70891,10385,C++,34,100.0,slow,22500,False,,,,,,,,,,,,,,
hakimel,reveal.js,hakimel/reveal.js,69837,16780,JavaScript,49,83.0,slow,35900,True,2025-11-16T17:25:32.820525,16,14,723,4283,0.0,0.8,14367,1992,2191,5.0,4.0,1.0,OK
danielmiessler,SecLists,danielmiessler/SecLists,66923,24773,PHP,29,96.0,slow,34900,False,,,,,,,,,,,,,,
scikit-learn,scikit-learn,scikit-learn/scikit-learn,64029,26437,Python,48,61.0,slow,343900,True,2025-11-16T17:27:10.475405,298,0,8255,35611,0.0,1.0,235167,26194,24578,5.0,1.0,1.0,OK
scrapy,scrapy,scrapy/scrapy,58946,11147,Python,43,68.0,slow,68700,True,2025-11-16T17:27:00.734283,92,40,480,2543,0.0,2.4,56673,8046,4196,5.0,5.0,1.0,OK
h5bp,html5-boilerplate,h5bp/html5-boilerplate,57267,12312,JavaScript,34,76.0,slow,31100,True,2025-11-16T17:26:36.845312,0,0,19,89,0.0,31.6,456,36,12,1.0,1.0,1.0,OK
jgthms,bulma,jgthms/bulma,49987,3934,CSS,22,112.5,slow,42900,True,2025-11-16T17:29:32.542046,161,0,1064,3274,0.0,3.0,143914,1687,363,5.0,1.0,1.0,OK
skylot,jadx,skylot/jadx,46140,5330,Java,32,89.0,slow,14600,False,,,,,,,,,,,,,,
acmesh-official,acme.sh,acmesh-official/acme.sh,44551,5404,Shell,45,67.0,slow,66200,True,2025-11-16T17:27:03.503977,0,0,5,19,0.0,0.0,67,0,0,1.0,1.0,1.0,OK
Leaflet,Leaflet,Leaflet/Leaflet,43941,6038,JavaScript,34,53.0,slow,101300,True,2025-11-16T17:28:22.244565,2495,0,1187,5453,0.0,54.8,76339,4556,1758,4.0,1.0,1.0,OK
coreybutler,nvm-windows,coreybutler/nvm-windows,43659,3666,Go,23,74.5,slow,8800,True,2025-11-16T17:27:58.560591,0,0,62,1084,0.0,0.8,4192,986,1479,1.0,1.0,1.0,OK
spf13,cobra,spf13/cobra,42409,3024,Go,26,127.0,slow,31900,True,2025-11-16T17:27:55.533968,0,0,178,2694,0.0,12.6,12824,2014,1984,1.0,1.0,1.0,OK
ziglang,zig,ziglang/zig,42306,3111,Zig,21,172.0,slow,132200,True,2025-11-16T17:34:31.548925,10,0,137,971,0.0,0.1,3302,665,503,5.0,1.0,1.0,OK
tmux,tmux,tmux/tmux,39645,2309,C,37,164.0,slow,3900,True,2025-11-16T17:27:57.994387,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
koalaman,shellcheck,koalaman/shellcheck,38429,1883,Haskell,30,138.0,slow,16800,True,2025-11-16T17:28:40.111718,0,0,41,196,0.0,0.0,149,0,0,1.0,1.0,1.0,OK
google,leveldb,google/leveldb,38335,8079,C++,21,67.5,slow,7200,True,2025-11-16T17:28:49.112299,19,0,0,0,0.0,0.0,420,1,0,3.0,1.0,1.0,OK
facebookresearch,faiss,facebookresearch/faiss,37968,4110,C++,21,112.5,slow,25600,True,2025-11-16T17:29:02.233896,32,1,1942,7268,0.0,3.0,29396,4260,4052,5.0,4.0,1.0,OK
httpie,cli,httpie/cli,37015,3781,Python,47,61.0,slow,17200,True,2025-11-16T17:29:22.865431,4,1,153,997,0.0,0.0,14293,1969,1546,5.0,4.0,1.0,OK
huiyadanli,RevokeMsgPatcher,huiyadanli/RevokeMsgPatcher,35560,3826,C#,21,62.5,slow,500,True,2025-11-16T17:29:25.538279,0,0,0,0,0.0,0.0,28,0,0,1.0,1.0,1.0,OK
